Title	Abstract	Journal	Date of Publication	Authors	PMID
Cognitive Impairment in Post-COVID-19 Patients: A Prospective Neuropsychological Evaluation Study.	"BACKGROUND: Cognitive impairments, often termed ""brain fog,"" have emerged as prevalent sequelae among individuals recovering from COVID-19. Despite increasing recognition, systematic neuropsychological evaluation data remain limited. METHODS: A prospective observational study was conducted between February 2023 and December 2024 in a tertiary care neurorehabilitation center. One hundred twenty post-COVID-19 patients (mean age 44.6 +/- 11.3 years; 58.3% male) presenting with cognitive complaints at least 3 months after recovery were recruited. Patients underwent evaluation using the Montreal Cognitive Assessment (MoCA), Trail Making Test A and B (TMT-A, TMT-B), and Digit Span Test. A control group of 60 age- and education-matched individuals without prior COVID-19 served as comparison. Statistical analysis included independent t-tests, chi-square tests, and multivariate logistic regression (P < 0.05). RESULTS: Cognitive impairment (MoCA score <26) was observed in 66.7% of post-COVID-19 participants compared to 15.0% of controls (P < 0.001). Post-COVID patients showed significantly slower TMT-A (43.7 +/- 12.9 vs 31.2 +/- 9.6 sec; P < 0.001) and TMT-B times (95.8 +/- 22.4 vs 76.5 +/- 17.8 sec; P < 0.001). Working memory (Digit Span backward) was also impaired (mean score: 4.2 +/- 0.9 vs 5.3 +/- 0.8; P < 0.001). Severity of initial infection (hospitalized vs non-hospitalized) was associated with increased odds of impairment (OR: 2.87; 95% CI: 1.22-6.74; P = 0.015). CONCLUSION: Cognitive deficits are common in post-COVID-19 patients, particularly affecting attention, processing speed, and working memory. Structured cognitive screening and rehabilitation may be essential components of long-term COVID-19 care."	Journal of pharmacy & bioallied sciences	2025 Dec	['Sankaranarayanan CS', 'Lakshmi KR', 'Senthilnathan M', 'Poorvika AG', 'Kumar SS']	41522932
Evaluation and improvement of algorithmic fairness for COVID-19 severity classification using Explainable Artificial Intelligence-based bias mitigation.	OBJECTIVES: The COVID-19 pandemic has highlighted the growing reliance on machine learning (ML) models for predicting disease severity, which is important for clinical decision-making and equitable resource allocation. While achieving high predictive accuracy is important, ensuring fairness in the prediction output of these models is equally important to prevent bias-driven disparities in healthcare. This study evaluates fairness in a machine learning-based COVID-19 severity classification model and proposes an Explainable AI (XAI)-based bias mitigation strategy to address sex-related bias. MATERIALS AND METHODS: Using data from the Quebec Biobank, we developed an XGBoost-based multi-class classification model. Fairness was assessed using Subset Accuracy Parity Difference (SAPD) and Label-wise Equal Opportunity Difference (LEOD) metrics. Four bias mitigation strategies were implemented and evaluated: Fair Representation Learning, Fair Classifier Using Constraints, Adversarial Debiasing, and our proposed XAI-based method utilizing SHapley Additive exPlanations (SHAP) method for feature importance analysis. RESULTS: The study cohort included 1642 COVID-19 positive older adults (mean age: 77.5), balance equally between males and females. The baseline (unmitigated) classification model achieved 90.68% accuracy but exhibited a 10.11% Subset Accuracy Parity Difference between sexes, indicating a relatively large bias. The introduced XAI-based method demonstrated a better trade-off between model performance and fairness compared to existing bias mitigation methods by identifying sex-sensitive feature interactions and integrating them into the model re-training. DISCUSSION: Traditional fairness interventions often compromise accuracy to a greater extent. Our XAI-based method achieves the best balance between classification performance and bias, enhancing its clinical applicability. CONCLUSION: The XAI-driven bias mitigation intervention effectively reduces sex-based disparities in COVID-19 severity prediction without the significant accuracy loss observed in traditional methods. This approach provides a framework for developing fair and accurate clinical decision support systems for older adults, which ensures equitable care in clinical risk stratification and resource allocation.	JAMIA open	2026 Feb	['Nejadshamsi S', 'H Chu C', 'McGilton KS', 'Li X', 'Ronquillo C', 'Abbasgholizadeh-Rahimi S']	41522832
The UK vaccine innovation pathway.	Cancer vaccines offer transformative potential in oncology, especially with advances in mRNA technologies. To accelerate advances in cancer vaccine research and capitalize on its COVID-19 vaccine leadership, the UK Government has launched the UK Vaccine Innovation Pathway (VIP) through a partnership between the National Institute for Health and Care Research (NIHR), NHS England, and pharmaceutical partners. Its innovative approaches to trial delivery have enabled a 500% increase in patient recruitment with 33 trials open or recently closed across 85 sites and 11 cancer types. Working alongside the Cancer Vaccine Launchpad (CVLP), which pre-screens patients across 55 NHS sites, VIP offers streamlined trial set-up, decentralized delivery, and equity-focused design. The UK's approach aligns scientific innovation with rapid clinical deployment, creating a scalable, patient-centred model for delivering individualized therapies. This article outlines the strategic framework, outcomes, and lessons from the VIP and CVLP to inform future national strategies in cancer vaccine deployment.	Immunotherapy advances	2026	['Danson S', 'Jones RP', 'Duggleby K', 'Rosenberg G', 'Hallsworth M', 'Koufali M']	41522634
Recent Advances in Lateral Flow Immunoassay for Rapid Diagnosis of Viral Diseases.	Viral diseases are a major threat to human and animal health, as illustrated by recent pandemics like COVID-19 and African swine fever (ASF). Timely, accurate detection of viral infections is critical for effective disease control. Among diverse diagnostic techniques, lateral flow immunoassay (LFIA) has become a widely used on-site testing tool, owing to its speed, simplicity, affordability, and portability. The application of LFIA for detecting human and animal viruses is feasible, which highlights its practical utility in veterinary settings. This review summarizes key advances in LFIA for the rapid diagnosis of viral diseases over the past decade, focusing on its technical principles, practical applications, core advantages, existing limitations, and potential effective strategies to provide comprehensive knowledge for virus detection.	Transboundary and emerging diseases	2026	['Ren Q', 'Wang Y', 'Ma H', 'Xie J', 'Jin J', 'Tian R', 'Yu H', 'Gao X', 'Chen N']	41522489
Homelessness in pregnancy: life course factors and mental health in the context of COVID-19.	INTRODUCTION: Homelessness during pregnancy is a significant public health issue in the US that increases the risk of adverse maternal and infant mental and physical health outcomes. The COVID-19 pandemic exacerbated these risks through disruptions in health and social services, employment, and housing stability. Our study aimed to explore how early and cumulative adverse life experiences, mental health challenges, and the pandemic shaped the experience of homelessness during pregnancy. METHODS: We used ​an action-oriented approach for this qualitative exploratory study. We conducted 20 in-depth semi-structured interviews in 2022 among a sample of pregnant, postpartum, and parenting people in Washington DC who experienced homelessness during the COVID-19 pandemic. We conducted a directed content analysis and utilized a life course perspective as the guiding analytic framework. RESULTS: We identified six themes: early family instability - childhood through adolescence, vulnerability and conflict as an emerging adult, economic precarity during adulthood, desire for intergenerational family stability and wellbeing, impacts of COVID on homelessness and housing instability for pregnant people, and mental health and housing instability during pregnancy. DISCUSSION: Findings highlight that homelessness during pregnancy reflects cumulative adversity which compound across the life course, with the potential to cause intergenerational consequences for maternal and infant health. Policies that ensure stable, safe housing during the perinatal period, integrated mental health care, and economic supports are urgently needed. We identify critical opportunities for policy and practice reforms, emphasizing the need for trauma-informed solutions using a life-course approach.	Frontiers in psychiatry	2025	['Jeffers NK', 'Arno CA', 'McShane KS', 'Vanderpuije M', 'Lozano A', 'Bradford HM', 'Shasanmi-Ellis R', 'Grace KT', 'Robinson KN', 'Marea CX']	41522485
Virtual lab of artificial intelligence agents accelerating nanobody design against SARS-CoV-2 variants.	Artificial intelligence (AI)-driven research frameworks are reshaping the boundaries of biomedical discovery. The Virtual Lab exemplifies this transformation, assembling large language model (LLM) agents into coordinated scientific teams functioning as investigators, specialists, and critics. The system autonomously designed, scored, and refined nanobody candidates against emerging SARS-CoV-2 variants, and subsequently validated them experimentally. These findings demonstrate how AI can move beyond prediction and retrieval to serve as an active collaborator in hypothesis generation, experimental design, and translational application. As technology continues to advance, the convergence of artificial intelligence and quantum computing is expected to give rise to a new era of Quantum AI enabled biomedical research. This integration will accelerate discovery speed, enhance precision, and foster interdisciplinary collaboration, opening unprecedented opportunities for data-driven innovation in the life sciences.	International journal of biological sciences	2026	['Kim H', 'Kwon T', 'Kim SU', 'Kim SK']	41522341
Optimizing urban bike-sharing systems: a stochastic mathematical model for infrastructure planning.	This paper addresses the optimization of resource allocation and infrastructure planning in bike-sharing systems, particularly inspired by dynamic demand patterns as observed during the COVID-19 pandemic. We introduce a stochastic mathematical model that considers varying demand scenarios to enhance system performance and resource utilization. The research objectives are to fulfill the total travel demand across scenarios and compute the network's capacity to satisfy demand, thereby enhancing the system's efficiency and meeting users' diverse travel needs. The main contributions of this paper include presenting a stochastic mathematical model for bike-sharing station allocation and path network design, which optimizes resource allocation and infrastructure planning. Through a case study on the Vienna bike-sharing system, the model demonstrates practical applicability and effectiveness, offering insights for improving efficiency and service quality. The sensitivity analysis reveals that as costs for bicycle docks and station building increase, fulfilled demand decreases, emphasizing the crucial role of cost management in meeting demand efficiently.	Central European journal of operations research	2026	['Ahmadi SA', 'Ghasemi P', 'Ehmke JF']	41522303
IMPROVING HPV VACCINE RATES FOR ABORIGINAL YOUNG PEOPLE THROUGH A SOCIAL MEDIA CAMPAIGN: AN INTERRUPTED TIME SERIES.	Human papillomavirus (HPV) is a common sexually transmitted infection that can lead to HPV-related cancers such as cervical cancer and other cancers such as anal, vaginal, and penile cancer. HPV rarely produces symptoms and cannot be cured or treated; therefore, vaccination is essential to protect against HPV and HPV-related diseases. However, young Aboriginal and Torres Strait Islander (hereafter, respectfully, 'Aboriginal') people are not receiving their HPV vaccine dose, resulting in missed opportunities to be protected from HPV-related cancers. Health promotion is a critical way to empower people to take ownership over and control their health and is a core function of public health. One way to deliver health promotion is through social media platforms. In recent COVID-19 times, we have seen the effect of social media on public health messaging, both positive and harmful. In particular, Instagram influencers have had a profound impact on pro- and anti-vaccination messages. Aboriginal adolescents aged 13-15 years old have strong engagement with social media platforms. Combining co-created health promotion messages with local 'micro-Influencers' is a novel way to improve HPV vaccination rates. The overall aim of this project is to improve the rates of HPV vaccination amongst young Aboriginal people. We will achieve this through: i) co-creation of health promotion messages, ii) developing and delivering a social media campaign and iii) evaluating the effectiveness of the campaign through an interrupted time-series design. We hypothesise that the co-creation of health promotion messages with young Aboriginal people and their families and utilising the skills of micro-Influencers to engage and influence their followers will result in improvements HPV vaccination rates amongst this population.	F1000Research	2025	['Strobel NA', 'Jones J', 'Gates K', 'Turner SL', 'McKenzie JE', 'McAullay DR']	41522295
Efficacy and Safety of Pirfenidone for Mitigation of Interstitial Lung Abnormalities in COVID-19 Patients: A Meta-Analysis.	BACKGROUND: Although post-COVID-19 interstitial lung abnormalities (ILAs) are common, the use of antifibrotic agents to prevent their onset and progression is controversial. We aimed to investigate the effectiveness and safety of pirfenidone to mitigate the onset and progression of ILAs in patients with severe COVID-19. METHODS: We systematically searched literature published before July 21, 2025, from PubMed, Embase, Cochrane Library, Web of Science, China National Knowledge Infrastructure, China Biology Medicine, Weipu, and Wanfang databases, without language limitation. Randomized controlled trials and cohort studies that evaluated the effect of pirfenidone on COVID-19-induced ILAs were included. Risk of bias was determined using the Revised Cochrane Randomized Trial Risk Bias Tool Version 2 and the Newcastle-Ottawa Scale. The efficacy and safety of pirfenidone for ILAs in COVID-19 were analyzed by Review Manager 5.4 software. RESULTS: Eight studies were included, comprising 335 patients in pirfenidone treatment groups and 302 controls. Risk of bias ranged from low to moderate. Pirfenidone significantly decreased chest high-resolution CT (HRCT) scores during early- and late-stage COVID-19 and significantly improved forced expiratory volume in 1 s, especially in late-stage COVID-19. Pirfenidone treatment was associated with statistically nonsignificant trends toward improved forced vital capacity and decreased all-cause mortality. Furthermore, HRCT scores, pulmonary function, and inflammatory cytokine levels following pirfenidone treatment were superior to those obtained after glucocorticoid therapy. The incidence of gastrointestinal adverse events was higher in the pirfenidone than the control group, but no serious adverse events or fatalities occurred. CONCLUSION: Pirfenidone therapy may mitigate ILAs and preserve pulmonary function among survivors of COVID-19 pneumonia. Furthermore, pirfenidone exhibited acceptable safety and tolerability profiles.	Canadian respiratory journal	2026	['Zhang Z', 'Fang X', 'Gao J', 'Sun H', 'Xu T', 'Wang J']	41522210
Assessing the Impact of Colchicine on Pulmonary Fibrosis Using Imaging in Patients With Moderate-to-Severe COVID-19 Pneumonia.	OBJECTIVE: Pulmonary fibrosis may develop in patients with severe clinical conditions, especially those with high inflammatory indicators. We aimed to investigate the 15-month follow-up clinical outcomes in patients with moderate-to-severe COVID-19 pneumonia treated with colchicine and to evaluate its potential in preventing post-COVID pulmonary fibrosis. METHOD: This study, beginning with a retrospective analysis of 1489 selected patients, and a follow-up assessment of 155 patients conducted 15 months after hospital discharge. This study included 90 patients presenting with COVID-19 pneumonia with severity ranging from moderate to severe who were treated with colchicine alongside standard care, and 65 patients who did not receive colchicine were included in the control group to serve as a comparator. Patients who received colchicine treatment were included in Group 1, and those that did not in Group 2. RESULTS: From admission to the 15-month follow-up, patients receiving colchicine exhibited a significant regression in chest CT abnormalities when compared with the control group (p < 0.05). Additionally, 65.6% (n = 59) of the colchicine group experienced symptomatic improvement, significantly higher than 35.4% (n = 23) in the control group (p < 0.05). Ninety patients who received colchicine treatment had Stage 3, 4, or 5, and only 28 had Stage 3, 4, or 5 pulmonary fibrosis at the end of 15 months. After 15 months of follow-up, all 20 patients initially classified as Stage 5 who received colchicine remained at Stage 5 pulmonary fibrosis, whereas in the control group, 2 patients (3.1%) were fibrosis-free, and the others presented with Stage 1 (n = 23; 35.4%), Stage 3 (n = 23; 35.4%), Stage 4 (n = 9; 13.8%), or Stage 5 (n = 8; 12.3%) pulmonary fibrosis. CONCLUSION: This study demonstrates that colchicine therapy might reduce pulmonary fibrosis progression in individuals affected by COVID-19 pneumonia. Clinicians should consider colchicine treatment to prevent pulmonary fibrosis.	Canadian respiratory journal	2026	['Ayhan Albayrak G', 'Bardakci MI', 'Temel U']	41522209
Inhalation & intravenous: umbilical cord mesenchymal stem cell-derived exosomes therapy strategy for acute respiratory distress syndrome in a murine model.	BACKGROUND: Acute respiratory distress syndrome (ARDS) is a complex syndrome characterized by acute diffuse lung injury and progressive respiratory failure, caused by various intra- and extra-pulmonary factors. The coronavirus disease 2019 (COVID-19) pandemic has significantly increased the incidence of ARDS, posing a tremendous threat to human health due to its high mortality rate and lack of effective therapeutic drugs. In recent years, mesenchymal stem cell-derived exosomes (MSC-exo) have been considered a new hope for the treatment of ARDS due to their potent immunomodulatory characteristics. Although multiple studies have demonstrated their efficacy and safety, the differential therapeutic effects of various administration routes and doses remain unclear. This study aimed to investigate the administration route of MSC-exo for ARDS treatment, with the goal of maximizing therapeutic benefits and providing valuable clinical insights. METHODS: This study aims to establish an ARDS disease model by intratracheal instillation of lipopolysaccharide (LPS) in male C57/BL6 mice. Subsequently, umbilical cord mesenchymal stem cell exosomes will be administered via three methods: inhalation, tail vein injection, and combination therapy (inhalation combined with tail vein injection). Following the establishment of the mouse ARDS model via intratracheal instillation of LPS, the animals were randomly divided into seven groups based on the timing and dosage of the treatment administration. Samples were harvested at 24 hours, 72 hours, and 7 days after modeling. The assessments included RNA transcriptome sequencing, cytokine levels in blood and bronchoalveolar lavage fluid, blood oxygen saturation, histopathological staining, and survival analysis. RESULTS: Compared to nebulized exosomes alone, dual-route administration significantly improved respiratory function, as evidenced by prolonged expiratory and inspiratory times and increased minute ventilation (P</=0.05). Furthermore, it decreased the levels of the pro-inflammatory cytokines interleukin-1beta (IL-1beta) and interleukin-6 (IL-6) in the blood (P=0.01, P=0.041). Compared to intravenous exosomes alone, dual-route administration produced broader improvements. It significantly enhanced lung function by prolonging expiratory time (P=0.01), inspiratory time (P=0.004), and increasing minute ventilation (P=0.02). Additionally, it suppressed inflammation by lowering IL-6 levels in bronchoalveolar lavage fluid (P=0.01) and reduced the death of type II alveolar epithelial cells (P=0.03). CONCLUSIONS: The dual-route administration of umbilical cord MSC-exo is more effective in controlling the inflammatory response and alleviating lung injury in LPS-induced ARDS animal models. Inhalation rapidly alleviates pulmonary inflammation with a smaller dose, while intravenous injection better manages the systemic inflammation. This dual-route approach holds promise as a novel ARDS treatment strategy.	Journal of thoracic disease	2025 Dec 31	['Yang L', 'Cao Z', 'Xing Y', 'Pan Y', 'Yang C', 'Zhang L', 'Zhao H', 'Ma T', 'Ye H']	41522156
Association between eosinophil counts and outcomes of severe coronavirus disease 2019 in elderly asthma patients: a prospective cohort study.	"BACKGROUND: Given effects of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) infection on the respiratory system and epidemiological burden of asthma worldwide, coronavirus disease 2019 (COVID-19) in asthma patients caused reasonable concern to be a ""dangerous"" combination in early pandemic. This is especially pertinent to elderly patients with asthma since older age, diabetes, cardiovascular disease, and hypertension, is associated with more serious complications of COVID-19 and higher mortality. Blood eosinopenia occurs as a part of the total cytopenia at the early stage of severe COVID-19 due to an effect of SARS-CoV-2 virus on the immunity and severe inflammation. Therefore, blood cell count monitoring could be useful for the diagnosis and outcome prediction in COVID-19. The aim of this study was to investigate a relationship between blood eosinophil count and outcomes of COVID-associated lung injury in elderly patients with asthma. METHODS: This was a prospective cohort study involving elderly patients with asthma (>60 years of age, n=131). All patients were admitted to a hospital for COVID-19 from October 1, 2020, to September 30, 2021. Those patients who completed their hospital treatment (were discharged or died) by December, 30, 2021, were enrolled in the study. All the patients were previously diagnosed with asthma according to Global Initiative for Asthma (GINA) criteria. The diagnosis of COVID-19 was confirmed by positive polymerase chain reaction (PCR) test, typical clinical symptoms, and radiological signs of multifocal pneumonia. Survived patients were followed up by weekly phone calls for 90 days after discharge. The complete blood count was measured in the whole blood samples obtained at admission. Hazard ratio was calculated using univariable and multivariable Cox proportional hazards regression models. RESULTS: In total, 131 patients were enrolled in the study. Eighty-six patients survived, 30 patients died in the hospital, and 15 patients died post-discharge. Common independent predictors of death were the Charlson Comorbidity Index and eosinopenia. Survived patients had higher blood eosinophil count compared to patients who died in the hospital or post-discharge (P=0.001 and P=0.04, respectively). The cut-off eosinophil count was estimated as 100 cells/L; higher eosinophil count was seen in 24% of survivors and in none of non-survivors (P=0.002 and P=0.04, respectively). The absolute eosinophil count was a significant predictor of in-hospital death [odds ratio (OR), 0.64; 95% confidence interval (CI): 0.49-0.84; P=0.002] and death post-discharge (OR, 0.78; 95% CI: 0.65-0.95; P=0.01). Median survival, in-hospital and post-discharge, was shorter in patients with eosinophil count </=100 cells/L (P<0.001 and P=0.04, respectively). CONCLUSIONS: Blood eosinophil count could be used as a prognostic marker of outcome in elderly patients with asthma and COVID-associated lung injury. Eosinophil level </=100 cells/microL could be used as a threshold for predicting poor outcome, both in-hospital and 90-day post-discharge."	Journal of thoracic disease	2025 Dec 31	['Avdeev SN', 'Gaynitdinova VV', 'Chikina SY', 'Merzhoeva ZM', 'Nuralieva GS', 'Gneusheva TY', 'Sokolova ES', 'Bogatyreva TU', 'Berikkhanov ZG', 'Ma Q']	41522151
Novel insights into diagnosis and management of hyperreactivity: a narrative review.	BACKGROUND AND OBJECTIVE: Hyperreactivity (HR) refers to an exaggerated biological response to a given stimulus that is within the normal physiological range, resulting from a lowered activation threshold of the involved system or effector cells. It commonly occurs after surgery, lung transplantation, and coronavirus disease 2019 (COVID-19) infection but lacks a unified concept and systematic understanding. This review aims to elucidate the concept, mechanisms, and disease spectrum of HR as an independent clinical entity, systematically explore its roles in postoperative conditions, lung transplantation, and COVID-19, and develop a biomarker-based hierarchical management framework, thereby providing a new paradigm for its precise recognition and intervention. METHODS: We systematically searched the PubMed, Web of Science, Scopus, and China National Knowledge Infrastructure databases for literature published from January 1, 1968, to November 1, 2025, including reviews, randomized controlled trials, and observational studies, human or animal studies related to HR mechanisms or clinical phenotypes, while excluding non-peer-reviewed materials such as case reports and conference abstracts. KEY CONTENT AND FINDINGS: This study first proposes that HR arises from a four-dimensional imbalance across the nervous, endocrine, immune, and microenvironmental systems, characterized by thoroughness, early onset/persistence, and individual variability. The mechanisms underlying HR in postoperative, transplant-related, and COVID-19 conditions are systematically summarized, and a hierarchical, biomarker-based management framework is developed, highlighting the need for marker validation and trajectory modeling. CONCLUSIONS: HR represents an independent clinical entity that transcends traditional disease boundaries. This review provides a new paradigm for its precise recognition and intervention and is expected to advance the conceptual and practical development of this field. Future research, clinical practice, and policy formulation should be individualized and mechanism-driven.	Journal of thoracic disease	2025 Dec 31	['Liu X', 'Cai Q', 'Lin L', 'Deng H', 'Zeng R', 'Shi J', 'Huang L', 'Liu H', 'Li C', 'Li J', 'Cheng B', 'Liu H', 'Thiery JP', 'Liang W', 'He J']	41522108
Early assessment of myocardial injury in patients with coronavirus disease 2019 using a two-stage deep learning framework based on non-contrast chest computed tomography.	BACKGROUND: Risk stratification is particularly important for the prognosis of coronavirus disease 2019 (COVID-19), particularly regarding myocardial injury (MI). Non-contrast chest computed tomography (CT) is useful for diagnosing lung injury, but its potential for one-stop evaluation of MI remains unclear. This study aimed to develop a deep learning (DL) framework for the one-step prediction of MI in COVID-19 patients using non-contrast chest CT. This approach seeks to enable early MI screening, direct high-risk patients toward further diagnostic tests, and optimize the allocation of medical resources. METHODS: A group of 453 patients with COVID-19, including 230 patients with MI and 223 patients without MI, were retrospectively recruited. A two-stage DL framework was developed to first segment the left ventricle (LV) in the non-contrast chest CT images using fully convolutional networks with a ResNet-101 backbone (FCN-ResNet-101) module and then classify the status of MI using densely connected convolutional network with the structure type of 121 (DenseNet-121) module. The framework was trained in a training-validation dataset of 413 patients (MI or non-MI) with a cross-validation approach, and evaluated in a testing dataset of 40 patients. RESULTS: The proposed DL framework accurately obtained the segmentations of LV in non-contrast chest CT images with an intersection over union (IoU) of 0.8041, an accuracy (ACC) of 0.9949, and a Dice coefficient of 0.8672. Based on the segmentation, the DL framework further accurately determined MI status and obtained an area under the curve (AUC) of 0.8618 [95% confidence interval (CI): 0.8049-0.9187], an ACC of 0.7763, a sensitivity (SEN) of 0.8750, a specificity (SPE) of 0.6071, and an F1 score of 0.8317. CONCLUSIONS: DL could determine the status of MI in non-contrast chest CT images of patients with COVID-19, providing one-stop convenience for early screening of MI.	Quantitative imaging in medicine and surgery	2026 Jan 1	['Wang L', 'Cheng Z', 'Liu B', 'Tang M', 'Lu L', 'Qiao J', 'Leng Y', 'Li M', 'Su S', 'Shu J', 'Chen J', 'Tang Y']	41522060
Emotional Response Patterns and COVID-19 Vaccine Intentions & Uptake in Two Approximated Nationally Representative U.S. Samples: A Latent Profile Analysis Replication Study.	"Despite the role that emotions have in influencing health behaviors, limited research has systematically investigated their role in COVID-19 vaccination decisions compared to the role of cognitions in vaccine behavior. This study aimed to (a) identify groups of adults with similar emotional responses to COVID-19 via latent profile analysis and (b) examine differences in vaccine intentions and uptake between emotion groups. Data were drawn from two samples designed to approximate nationally representative samples of US adults. The first survey (N = 3,853) was administered between December 2020 and January 2021, amid emergency authorization for COVID-19 vaccination. The second survey (N = 3,528) was administered in August 2021, alongside FDA COVID-19 vaccination approval. Five emotion profiles were replicated across the samples: ""Emotionally Unaffected,"" ""Contempt,"" ""Low Emotional Effect,"" ""Moderate Emotional Effect,"" and ""High Emotional Effect,"" which were differentially associated with vaccine intentions and behavior. Negative emotions varied in their effects: Participants in the ""Contempt"" group were most likely to reject the vaccine (Sample 1) and remain unvaccinated (Sample 2), whereas those in the ""High Emotional Effect"" group were less likely to be vaccine hesitant (Sample 1) and had the highest vaccination rates (Sample 2). Concerns about the COVID-19 vaccine also varied by emotion group among unvaccinated participants (Sample 2). Taken together, these novel findings highlight the need for emotion-responsive public health messaging. We suggest that COVID-19 vaccine communication strategies should be tailored to address people's distinct emotional responses, including those driven by anger and disgust, to improve the effectiveness of vaccination campaigns."	Behavioral medicine (Washington, D.C.)	2026 Jan-Mar	['Carreno PK', 'Adams LM', 'Hokes K', 'Roess AA', 'Renshaw K']	41521911
From Trust to Skepticism: Longitudinal Qualitative Insights on Uncertainties in COVID-19 Vaccine Messaging Among Trial-Engaged Participants Across the United States.	Mass vaccination emerged as a key public health strategy during the COVID-19 pandemic. Yet, greater attention is needed to understand the shifting dynamics of vaccine messaging amid rampant uncertainty across the United States, including its impact on vaccine uptake behaviors over time. Our study presented a unique opportunity to longitudinally explore how perceived uncertainties in COVID-19 vaccine messaging shaped vaccine uptake behaviors among participants enrolled in a remote, nationwide COVID-19 trial in the United States. In-depth, semi-structured qualitative interviews were conducted virtually across two timepoints (T1: December 2020 to March 2021, n = 19; T2: January to February 2022, n = 11). Analysis was guided by immersion crystallization; an inductive and deductive approach to identifying themes and the relationships between them. Most participants (aged 32-74) resided in California (T1: 58%, T2: 45%) and self-identified as white (T1: 63%; T2: 73%) and/or cisgender women (T1: 63%; T2: 55%). All participants expressed interest in the COVID-19 vaccine at T1, among which 21% received their first dose as members of priority groups. By T2, all participants obtained the primary COVID-19 vaccine series, and 73% received a booster. Key themes included: (1) self-efficacy in the absence of cohesive information; (2) shifting guidelines heightened perceived barriers and uncertainties; and (3) unresolved messaging fueled skepticism and reduced trust in public health. Findings underscore how logistical and scientific uncertainties can be detrimental to long-term vaccine uptake, albeit acting in different ways. Communicating uncertainties necessitates iterative, public participation to advance health and scientific literacy, mitigate vaccine skepticism, and sustain vaccine uptake behaviors over time.	Behavioral medicine (Washington, D.C.)	2026 Jan-Mar	['Doshi AS', 'Naz-McLean S', 'Balasa R', 'Philbin MM', 'Doan T', 'Oldenburg CE', 'Perez-Brumer A']	41521908
Lifestyle and health behaviour changes of ageing Finnish women during early COVID-19 restrictions.	AIMS: The outbreak of the COVID-19 pandemic and the following lockdown enforced substantial lifestyle changes in people's everyday lives. This study aimed to assess the impacts of the COVID-19 restrictions on the ageing women's mental, social and physical well-being. METHODS: Data were collected through two postal questionnaires. Baseline data were obtained in May-June 2019, prior to the pandemic. A follow-up survey was mailed to 760 eligible participants in August-September 2020; 571 women (75.1%) responded, forming the final cohort. The cohort comprised community-dwelling women born between 1932 and 1941 (mean age 82.5 years). Both surveys assessed health, lifestyle, mood, sleep, and technology use, with the follow-up including pandemic-related items. RESULTS: Dietary habits improved with increased consumption of fruits, vegetables and fish, and decreased intake of sweets, pastries, alcohol and meat. Sleep quality and perceived sufficiency remained stable, although nighttime awakenings declined (p=0.023). Social interactions decreased for 43.6% of respondents, yet 20.2% reported receiving more support. Functional capacity deteriorated significantly, with reduced ability to climb several floors, run 100 m and cycle (all p<0.001). CONCLUSIONS: Early lockdown was associated with both positive and negative outcomes. Favourable changes included healthier diets and stable sleep quality. Despite reduced face-to-face contact, perceived social support improved for some participants. However, physical functioning declined, underscoring the need to maintain mobility during prolonged restrictions.	Scandinavian journal of public health	2026 Jan 12	['Turunen S', 'Kopra J', 'Lappalainen S', 'Sund R', 'Kroger H', 'Rikkonen T']	41521842
Poly(sarcosine) Lipid Synthesis From CO(2)-Based Sarcosine-N-Carboxyanhydride.	Polymer lipids (PLs) are an essential component for the stability of lipid nanoparticles (LNPs) for gene delivery. Poly(ethylene glycol) (PEG)-based lipids are the current gold standard. However, they are suspected to be responsible for rare adverse reactions to the LNP-based COVID-19 vaccines. Therefore, alternative PLs are being intensively investigated. A particularly promising alternative are poly(sarcosine) (PSar)-based lipids. However, one significant bottleneck of pSar-based biomaterials is the synthesis of the monomer sarcosine-N-carboxyanhydride (Sar-NCA). Current methods rely on highly toxic di- or triphosgene to obtain the monomer directly from the amino acid sarcosine. Herein, we present a phosgene-free, CO(2)-based route to Sar-NCA in gram scale and excellent purity, suitable for the subsequent living polymerization to pSar. Furthermore, we used the obtained pSar for the synthesis of pSar lipids suitable for LNP preparation. Due to its low toxicity and simplicity, the CO(2)-based Sar-NCA synthesis has great potential to become an attractive alternative to current monomer synthesis pathways.	Macromolecular rapid communications	2026 Jan 12	['Kaps FT', 'Quellmalz L', 'Richardson ADS', 'Ziegler AL', 'Moreau S', 'Wiedmer SK', 'Repo T', 'Luxenhofer R']	41521781
