Title	Abstract	Journal	Date of Publication	Authors	PMID
Non-metastatic breast cancer patients discontinuing aromatase inhibitor on denosumab: what next?	"Aromatase inhibitors (AIs) are one of the adjuvant endocrine therapies of choice, for estrogen receptor-positive breast cancer in postmenopausal women and premenopausal women with ovarian suppression. However, treatment with AIs leads to accelerated bone loss, and an increased fracture risk. Denosumab or bisphosphonates are recommended to prevent bone loss and reduce fracture risk during AIs treatment. However, specific attention must be paid to the ""rebound phenomenon"" after denosumab discontinuation. This review focuses on the therapeutic benefits of denosumab for its antiresorptive and antifracture effect in women with early breast cancer treated with AIs, risks related to denosumab discontinuation after treatment with AIs, prevention, and potential interventions for its associated fracture risk. A narrative review of available literature was carried out by International Osteoporosis Foundation Committee of Scientific Advisors Working Group on Cancer-Induced Bone Disease. Papers were retrieved by means of a PubMed enquiry (from 2006 to August 2025). A total of 126 papers closely related to our topic were included. After denosumab withdrawal in women with breast cancer treated with AIs, bone turnover increases, and there is a risk of spontaneous rebound-associated vertebral fractures, even in the absence of other risk factors for bone fragility. Therefore, expert consensus suggests initiating bisphosphonate treatment after denosumab discontinuation, even though there is no an optimal bisphosphonate regimen. There are numerous open research questions which future prospective studies will have to answer in order to personalize the most appropriate antiresorptive therapy for each patient."	Osteoporosis international : a journal established as result of cooperation between the European Foundation for Osteoporosis and the National Osteoporosis Foundation of the USA	2026 Jan 12	['Marcucci G', 'Biver E', 'Body JJ', 'Campusano C', 'Cannata-Andia J', 'Confavreux C', 'de Villiers TJ', 'Ebeling PR', 'Hadji P', 'Kendler D', 'El Maghraoui A', 'Napoli N', 'Veronesi P', 'Rizzoli R', 'Brandi ML']	41524787
Adaphostin-induced oxidative stress in oesophageal neuroendocrine carcinoma: a potential therapeutic strategy.	Advanced oesophageal neuroendocrine carcinoma (ENEC) is a highly aggressive and rare malignancy with poor prognosis. Due to the rarity of this cancer there are currently no standardised treatment regimens for ENEC, and models to study this disease are difficult to obtain. To address this, we screened our established circulating tumour cell line from a patient with metastatic ENEC, termed UWG01CTC, using the LOPAC((R))(1280) drug repurposing library. The redox modulatory agent adaphostin was identified as a potent cytotoxin against UWG01CTC but not non-ENEC cell lines. Secondary adaphostin cell viability screens returned IC(50) values of 0.201 +/- 0.024 microM confirming the high sensitivity of this ENEC CTC line to the drug. Inclusion of the antioxidant N-acetyl cysteine significantly protected the UWG01CTCs against the cytotoxic effects of adaphostin (IC(50) = 0.928 +/- 0.425 microM), corroborating a mechanism mediated through the generation of reactive oxygen species (ROS). The expression of DNA damage marker phospho-gammaH2AX and apoptotic marker cleaved PARP1 were both elevated in cells treated with adaphostin, suggesting that the increased intracellular ROS levels induced by the drug causes downstream DNA damage and ultimately apoptosis. Thus, adaphostin shows promise as a potential new and selective treatment for ENEC.	Medical oncology (Northwood, London, England)	2026 Jan 12	['Penney C', 'Piper AK', 'Holliday J', 'Tincknell G', 'Joosse SA', 'Pantel K', 'Brungs D', 'Ranson M']	41524784
Structure-based drug design of small-molecule c-Myc G-quadruplex binders.	"The c-Myc oncogene is crucial in tumorigenesis. Although it is a promising therapeutic target, its protein lacks a conventional drug-binding pocket, making it traditionally ""undruggable"". Recent studies show that the c-Myc promoter can form a G-quadruplex (G4) structure, which suppresses transcription and offers a new strategy for indirect inhibition. In this study, structure-based virtual screening was performed using the c-Myc G4 crystal structure to screen the ChemDiv compound library, aiming to identify small molecules that bind to the G4 structure. Candidate compounds were evaluated in preliminary in vitro assays for biological activity. The results showed that Y502-3888 binds to the c-Myc G4 and downregulates c-Myc expression at both mRNA and protein levels. Collectively, these findings support the potential of Y502-3888 as a c-Myc G4 binder for the treatment of multiple myeloma (MM), providing a foundation for future development of anticancer agents targeting the c-Myc G4."	Journal of computer-aided molecular design	2026 Jan 12	['Gao J', 'Xu C', 'Hong R', 'Cheng G', 'Jia P']	41524758
Screening of metabolic markers related to molecular typing of breast cancer based on 1H NMR metabonomics.	BACKGROUND: Breast cancer (BC) is a heterogeneous disease classified into 4 molecular subtypes, each with distinct molecular characteristics that influence treatment strategies, clinical outcomes and prognosis. These subtypes are associated with specific changes in cellular metabolism, which may play a crucial role in tumor development and progression. OBJECTIVES: To identify distinctive serum metabolic biomarkers for each molecular BC subtype and to evaluate their associations with estrogen receptor (ER) and human epidermal growth factor 2 (HER2) receptor status, thereby refining molecular classification and informing personalized treatment strategies. MATERIAL AND METHODS: The study utilized the proton nuclear magnetic resonance (1H NMR) metabolomics method to collect serum metabolic profiles from BC patients. Pattern recognition analysis was employed to analyze the metabolic data. Metabolic markers specific to each molecular subtype were selected, and Kyoto Encyclopedia of Genes and Genomes (KEGG) pathway enrichment analysis was employed to explore serum metabolic pathway heterogeneity. RESULTS: Distinct metabolic markers were identified for each molecular subtype, demonstrating strong discriminatory power. Additionally, we identified specific serum metabolites whose levels correlate with ER and HER2 expression profiles. The KEGG pathway analysis revealed significant heterogeneity in serum metabolic pathways across different subtypes. CONCLUSIONS: This study demonstrates pronounced metabolic differences across BC subtypes that mirror their distinct molecular profiles and may underlie variations in therapeutic response. These metabolomic insights hold promise for refining tumor classification, improving diagnostic accuracy and guiding more personalized treatment strategies.	Advances in clinical and experimental medicine : official organ Wroclaw Medical University	2026 Jan 12	['Xu M', 'Huang W', 'Huang X', 'Shu H', 'Ke W', 'Zhang Y', 'Yang Y']	41524717
Integrative Clinical and Molecular Evaluation of Renal Cell Carcinoma with Merlin Protein Deficiency and Biallelic Loss of NF2.	PURPOSE: In renal cell carcinoma (RCC), loss of the NF2 tumor suppressor gene encoding the merlin protein is associated with aggressive clinical behavior. However, data regarding the clinical course and additional molecular features in the context of contemporary systemic therapies remains limited. METHODS: Clinical outcomes were evaluated in patients with RCC exhibiting merlin loss by immunohistochemistry in one academic cohort. Integrative genomic analyses were performed, including targeted DNA sequencing via the institutional OncoPanel assay and RNA sequencing data from The Cancer Genome Atlas (TCGA). RESULTS: In the institutional cohort (n=33), most patients had biphasic hyalinizing psammomatous RCC (66.6%) and metastatic disease (78.8%). Among 23 patients receiving systemic therapy, those treated with non-immunotherapy (IO)-based regimens (n=5) had numerically longer overall survival (24.5 vs 16.5 months, p=0.2) and progression-free survival (9.8 vs 5 months, p=0.5) compared to IO-based therapies (n=18), though differences were not statistically significant. Genomic analysis (n=17) revealed frequent truncating mutations of NF2 (82.3%) and recurrent alterations in chromatin remodeling and DNA damage-response signaling genes with prominent deletions in tumor suppressor genes such as CDKN2A/B. Transcriptomic profiling of NF2-inactivated tumors from TCGA (n=13) demonstrated enrichment of cellular proliferation and concurrent suppression of metabolic and immune pathways, suggesting an aggressive phenotype compared to clear cell RCC without NF2 inactivation (n=529). CONCLUSIONS: Biallelic NF2 inactivation and merlin protein deficiency drives an aggressive RCC phenotype marked by immune dysfunction, high proliferation, and frequent cell cycle and DNA damage-response signaling alterations. Limited treatment response to immunotherapy highlights the need for molecularly tailored therapies.	Clinical cancer research : an official journal of the American Association for Cancer Research	2026 Jan 12	['Yekeduz E', 'Bian W', 'Siegmund SE', 'Machaalani M', 'El Masri J', 'Saleh M', 'Saad E', 'Ascione L', 'El Hajj Chehade R', 'Steiner C', 'Barrios PM', 'Berg SA', 'McGregor B', 'Mantia C', 'Ravi P', 'Xu W', 'Hirsch MS', 'Choueiri TK', 'Serzan M']	41524698
Interdigitating Dendritic Cell Sarcoma: A Rare Diagnostic Challenge.	Interdigitating dendritic cell sarcoma (IDCS) is a rare malignancy with a poor prognosis, and currently, there lacks a standardized treatment protocol. IDCS can be challenging diagnostically given its immunophenotypic overlap with other malignancies such as melanoma. We describe a 52-year-old woman presenting with a left cervical mass. Following workup and MDT discussion, she underwent a unilateral modified radical neck dissection and superficial parotidectomy. On histopathological examination, despite some morphological and immunohistochemical overlap with melanoma, IDCS was confidently diagnosed. There have been few cases of IDCS in the head and neck published since the most recent pooled analysis. This case adds to the current literature, highlights unique diagnostic findings, and explores its overlap with melanoma. More data are required regarding treatment outcomes and follow-up for cases of IDCS. Increased reporting such as this case will facilitate future analyses to guide management of this rare malignancy.	Annals of plastic surgery	2026 Jan 13	['Boyd GE', 'McCombe A', 'Bayley G']	41524673
Lung Cancer in Patients With COPD: Predictors of Surgery and Long-Term Survival Following Lung Resection.	BACKGROUND: Lung resection is the preferred treatment option for lung cancer. Patients with chronic obstructive pulmonary disease (COPD) may be denied surgery due to lung function impairment or other comorbidities. RESEARCH QUESTION: To describe the predictors of lung resection and long-term survival in patients with COPD with early-stage non-small cell lung cancer (NSCLC). STUDY DESIGN AND METHODS: Retrospective cohort study of patients with COPD treated for resectable NSCLC between 2009 and 2019 in a tertiary care hospital. The decision to operate or not followed a thorough clinical evaluation. Survival status was obtained from a provincial registry. A multivariable logistic regression analysis was used to determine predictors of surgery. A propensity score technique was used to control for confounding by indication. Hazard ratios (HR) for survival were estimated from a Cox regression model, adjusted for measured baseline confounders and propensity score as covariates. RESULTS: 1307 patients with COPD were included, including 918 who underwent surgery. 147 (38%) of those who did not have surgery were treated with stereotactic body radiotherapy, 86 (22%) with conventional radiotherapy and 156 (40%) did not receive any active treatment. Predictors of surgery included age, FEV(1), adenocarcinoma versus squamous cell carcinoma, and stage IIA versus stage IA. Propensity score-adjusted survival was significantly reduced with non-surgical versus surgical approaches. INTERPRETATION: Lung resection was associated with better survival in patients with COPD and resectable lung cancer compared to non-surgical approaches.	Chronic obstructive pulmonary diseases (Miami, Fla.)	2026 Jan 5	['Tardif A', 'LeBlanc C', 'Roy P', 'Parizeault M', 'Labbe C', 'Nicodeme F', 'Roy E', 'Chouinard G', 'Pelletier E', 'Blais MC', 'Biardel S', 'Gaudreault M', 'Simard S', 'Lacasse Y', 'Maltais F']	41524656
Conservative Thickness Layers to Preserve Tattoo Appearance During Excisional Procedures.	Cutaneous surgery may need to be performed in areas of the skin that are tattooed, specifically for treatment of cutaneous malignancies with Mohs micrographic surgery (MMS) or excision of allergenic tattoo pigment in cases of chronic inflammatory tattoo reactions. We propose a technique that utilizes conservative thickness layers (CTL) when performing these procedures to minimize disruption to the appearance of the tattoo.	Cutis	2025 Nov	['Williams JA', 'King BJ']	41524637
Synthesis and Acidic pH-Responsive Disassembly of Dual-Location Shell-Sheddable/Core-Degradable Block Copolymer Nanoassemblies and Their Controlled Drug Delivery.	The development of acidic pH-responsive degradable amphiphilic block copolymers (ABPs) and their nanoassemblies has been extensively explored as a promising platform for tumor-targeting drug delivery and cancer therapy. Despite tremendous advances, most acidic pH-degradable ABP nanoassemblies have been designed with acid-labile groups positioned in a single location, such as the hydrophobic core or at the core/corona interface, limiting their control over degradation and thus causing an inefficient release profile of encapsulated therapeutics. Herein, we report a dual-location acidic pH-responsive degradation strategy involving the synthesis of acidic pH-degradable ABP-based nanoassemblies bearing two different acid-labile linkages in hydrophobic cores and at interfaces that exhibit an individually controlled and synergistically enhanced release profile of encapsulated therapeutics. Well-defined ABPs are designed with benzaldehyde acetal at the block junction (e.g., interfaces) and conjugated benzoic imine in the hydrophobic block (e.g., cores), synthesized by reversible deactivation radical polymerization. Colloidally stable nanoassemblies formed through aqueous micellization have an acidic pH response desired for tumor-targeting drug delivery, e.g., slow degradation at pH = 6.5 (tumoral pH) and rapid degradation at pH = 5.0 (endo/lysosomal pH), while the remaining stable at pH = 7.3 (physiological pH). When loaded with curcumin anticancer drugs, nanoassemblies achieve a high encapsulation efficiency. Curcumin-loaded nanoassemblies exhibit enhanced curcumin release at endo/lysosomal pH levels. Moreover, they exhibit promising antitumoral activity and intracellular trafficking to cancer cells, while empty nanoassemblies are noncytotoxic. These results highlight the potential of the dual-location, acidic pH-responsive degradation strategy as a versatile platform for the next generation of tumor-targeted drug delivery.	ACS applied bio materials	2026 Jan 12	['Andrade-Gagnon B', 'Casillas-Popova SN', 'Shamekhi M', 'Bairagi K', 'Peslherbe GH', 'Oh JK']	41524627
In synergy with interferon-gamma, interleukin-17 activates vascular stromal cells towards a pro-inflammatory profile in giant cell arteritis.	OBJECTIVES: This study investigated the role of IL-17 in Giant Cell Arteritis (GCA), which has remained uncertain despite previous research suggesting a contribution of Th17 cells to the disease. METHODS: Temporal artery biopsies (TABs) were cultured ex vivo in MATRIGEL(R) with IL-17, secukinumab, or control IgG, and subsequently analyzed using bulk RNA-sequencing and RT-qPCR. Positive-TABs with GCA features were compared to negative-TABs or used to obtain in vitro cultures of myofibroblasts (MFs). Confocal microscopy analyzed IL-17 receptor expression. MFs and peripheral blood mononuclear cells co-cultures were used to study T-cell polarization. RESULTS: Transcriptomic analysis showed that secukinumab treatment of positive TABs reduced expression of genes linked to vascular inflammation, notably IL6. RT-qPCR analysis confirmed that secukinumab decreased mRNA encoding IL-6, CCL20, and GM-CSF in positive-TABs, while IL-17 upregulated them in negative-TABs. No changes were observed regarding the expression of genes related to vascular remodeling. IL-17 receptor chains were expressed on MFs, and their expression was enhanced by IFN-gamma. RT-qPCR and Luminex(R) analyses confirmed IL-17-driven upregulation of IL-6, CCL20, CCL2, GM-CSF, and VEGF in MFs, which was reversed by secukinumab. Addition of IFN-gamma to the culture increased the expression level of IL-17 receptor chains, resulting in a synergistic effect. Additionally, IL-17 pre-treated MFs promoted Th17 polarization. CONCLUSIONS: IL-17 exacerbates vascular inflammation in GCA by activating MFs and synergizing with IFN-gamma to increase production of pro-inflammatory cytokines (IL-6, GM-CSF), chemokines (CCL20, CCL2), and angiogenic factors (VEGF, indicating that IL-17 is a key contributor to disease pathogenesis.	Arthritis & rheumatology (Hoboken, N.J.)	2026 Jan 12	['Greigert H', 'Ramon A', 'Cladiere C', 'Lamarthee B', 'Richard C', 'Ciudad M', 'Varin A', 'Herrmann N', 'Praliaud R', 'Brenac G', 'Razanamahery J', 'Arnould L', 'Gabrielle PH', 'Creuzot-Garcher C', 'Tarris G', 'Martin L', 'Audia S', 'Boidot R', 'Bonnotte B', 'Samson M']	41524618
RBC Alloimmunization Impacts Pediatric Sickle Cell Disease Transplant Outcomes and Transfusion Burden: A STAR Registry Report.	Patients with sickle cell disease (SCD) commonly receive red blood cell (RBC) transfusions and can become RBC alloimmunized. This study was designed to investigate if RBC alloimmunization before hematopoietic cell transplant (HCT) was associated with post-HCT outcomes and transfusion support using the multicenter Sickle cell Transplant Advocacy and Research (STAR) retrospective registry. From a cohort of 229 pediatric patients with SCD who underwent human leukocyte antigen (HLA)-matched related donor HCT with myeloablative or reduced intensity conditioning, 40 patients (17%) were RBC alloimmunized pre-HCT. The RBC alloimmunized group had a significantly higher incidence of grade III-IV acute graft-versus-host disease (GVHD) (15% vs. 3.7%, p = 0.013), which remained significant (OR 4.22, 95% CI, 1.19, 14.3; p = 0.027) when controlling for pre-HCT RBC transfusion burden and conditioning intensity. Graft failure occurred in 10% of RBC alloimmunized patients compared with 2.6% of non-alloimmunized patients, p = 0.052. Patients with RBC alloimmunization had lower 5-year severe GVHD-free, rejection-free survival (69% vs. 88%, p = 0.004), which remained significant when controlling for age. Post-HCT patients received a median 3 RBC units (IQR 2, 6) and 11 platelet transfusions (IQR 7, 19). Pre-HCT RBC alloimmunization was associated with a greater requirement for post-HCT platelet transfusions, but not post-HCT RBC units transfused. We postulate that the observed associations of pre-HCT RBC alloimmunization with severe acute GVHD and post-HCT platelet transfusion burden are due to inherent immunologic characteristics that render patients at increased risk of developing multiple immune-mediated complications.	American journal of hematology	2026 Jan 12	['Inam Z', 'Stenger E', 'John TD', 'Liu K', 'Gillespie S', 'Shah R', 'Chellapandian D', 'Bhatia M', 'Chaudhury S', 'Eckrich MJ', 'Guilcher GMT', 'Hendrickson JE', 'Hulbert ML', 'Jaroscak JJ', 'Kasow KA', 'Camacho-Bydume C', 'Ngwube A', 'Olson TS', 'Rangarajan HG', 'Horan JT', 'Krishnamurti L', 'Shenoy S', 'Abraham A', 'Nickel RS']	41524608
Empirical first- and second-line eradication regimens for Helicobacter pylori adult-infected patients: a National Survey among Italian gastroenterologists and general practitioners.	OBJECTIVE: Despite national and international guidelines on Helicobacter pylori management, limited evidence exists on how these recommendations are applied in routine clinical practice. This nationwide survey, conducted by the Italian Association of Hospital Gastroenterologists and Endoscopists and the Italian Federation of General Practitioners (FIMMG), aimed to identify the empirical first- and second-line treatments most commonly recommended in Italy. METHODS: Members of societies were invited via email to anonymously complete an original 20-item questionnaire. Ten therapeutic regimens were proposed, with treatment durations classified as 7, 10, or 14 days. Respondents reported the type of proton-pump inhibitor (PPI) used, total daily dose (mg/day), and whether probiotics and/or lactoferrin were recommended. PPI doses were standardized according to acid inhibition potency and categorized as low, standard, or high. RESULTS: Among the 1262 respondents [358 gastroenterologists (GEs) and 904 general practitioners (GPs)], the first-line regimen most frequently prescribed was the triple therapy with PPI, clarithromycin and amoxicillin (35.2%; 12% of GEs vs. 44.4% of GPs; P < 0.0001), followed by bismuth quadruple therapy - three-in-one capsule (BQT-TSC: 31.2%; 51.4 vs. 23.3%, P < 0.001), and sequential therapy (21.7%; 26.8 vs. 19.7%, P < 0.001). For second-line, BQT-TSC was the most prescribed regimen (53.1%; GEs versus GSs: not statistically significant). 10-day courses and low-dose PPIs predominated, and approximately 1/3 of respondents recommended probiotics. CONCLUSION: Empirical regimen selection, PPI dosing, and probiotic use frequently diverged from guideline recommendations. These findings highlight the need to align clinical practice with evidence-based standards to improve eradication rates, optimize cost-effectiveness, and preserve healthcare resources.	European journal of gastroenterology & hepatology	2025 Dec 15	['Gatta L', 'Scarpignato C', 'Zullo A', 'Marrocco W', 'Chiriatti A', 'Grosso A', 'Lambiase C', 'Vassallo R', 'Bartoletti P', 'Monica F', 'Manta R', 'Scotti S', 'Soncini M', 'Usai-Satta P', 'Bellini M']	41524597
Fat's All, Folks: Culturing and Manipulating Peri-Prostatic Adipocytes to Probe Impacts on Prostate Cancer Biology.	Obesity, officially recognised as a global epidemic by the World Health Organization, will soon overtake smoking as the largest preventable risk factor for cancer. By 2035, more than half the world's population is expected to be overweight or obese with a significant increase in obesity-related health expenditures. However, despite the increase in prevalence and the overall lower life expectancy associated with obesity, mechanisms underpinning obesity-driven disease are not well understood. Adipocytes pose many challenges for in vitro culture due to their poor cell to surface attachment and low viability. Their large size and high lipid content can also present methodological challenges for downstream experiments. Several mouse and human-derived primary pre-adipocyte cell lines have been established over the years. However, they show limited renewal capacity and they cannot be cultured long term in vitro. Commercial cell lines available, which can be cultured long term, fail to represent organ-specific adipocyte heterogeneity. Adipose tissue from different organs and fat-depots can show significant heterogeneity in terms of metabolism, overall secretome and extracellular-matrix production. The prostate, for example, is surrounded by peri-prostatic adipose tissue (PPAT), volume of which is associated with increased risk of lethal prostate cancer and reduced therapy- response. Here we outline a protocol for ex vivo culture of fresh PPAT and non-prostatic adipose tissue (NPAT), which reflects donor and depot-specific characteristics. Ex vivo culture of PPAT/NPAT explants maintains cell-cell interactions and preserves local tissue architecture within adipose tissue. We have also described establishment of immortalised, patient PPAT-derived pre-adipocytes and patient-matched NPAT pre-adipocytes that can be in vitro-differentiated into mature adipocytes. The protocols outlined here could be readily adapted to other organ-specific fat depots such as mammary/bone marrow adipose tissue, and to tissues of non-human origin.	The Journal of endocrinology	2026 Jan 12	['Grunberg N', 'Winkler M', 'Hellawell G', 'Khoubehi B', 'Shah TT', 'Ahmed H', 'Bevan CL', 'Fletcher CE']	41524592
Risk factors and clinical course of inflammatory bowel disease in patients receiving cancer therapy.	BACKGROUND: Inflammatory bowel disease (IBD) is associated with chronic inflammation and increased malignancy risk; however, data on the effects of cancer therapies on the clinical course of IBD are limited. We evaluated the effects of cancer therapies on IBD activity and oncologic outcomes. METHODS: This single-center, retrospective study was conducted at a tertiary care cancer center and included patients with IBD and malignancy who received cancer therapy 2015-2023. Patient characteristics and comparisons between patients who did and did not develop gastrointestinal adverse events (GI AEs) related to cancer therapy are presented. RESULTS: The cohort included 1153 patients, predominantly white (85.3%) and female (51.6%). GI AEs occurred in 296 (25.7%) patients. Those who developed GI AEs had more hematologic malignancies (21.6 vs. 14.6%; P = 0.005), stage III-IV cancer (55.1 vs. 45.6%; P < 0.0001), immune checkpoint inhibitor (ICI) use (19.6 vs. 10.7%; P < 0.0001) and active baseline IBD status before cancer therapy (20.0 vs. 14.5%; P = 0.025). Stage III-IV disease (hazard ratio: 2.9, P < 0.0001), GI AEs (hazard ratio: 1.3, P = 0.008), GI AE-related hospitalization (hazard ratio: 2.1, P < 0.0001), and ICI (hazard ratio: 2.0, P < 0.0001) were associated with decreased survival. CONCLUSION: Concurrent management of IBD and cancer poses clinical challenges, particularly with the higher risk of GI AEs (25.7%) that is associated with active baseline IBD status and ICI use. These interactions may compromise treatment and survival. Further research is warranted to clarify the long-term impact of cancer therapies on IBD progression and outcomes.	European journal of gastroenterology & hepatology	2026 Jan 6	['Natha C', 'Colli Cruz C', 'Vemulapalli V', 'Sullivan A', 'Naz S', 'Ahuja R', 'Haque K', 'Zhou E', 'Haydel J', 'Quirk N', 'Wali S', 'Takigawa K', 'Prasad P', 'Peddireddy A', 'Shi K', 'Lu E', 'Lee AM', 'Julia Moura Nascimento Santos M', 'Junek K', 'Silva N', 'Pabani A', 'Philpott J', 'Thomas AS', 'Wang Y']	41524591
The prognostic value of protein induced by vitamin K absence or antagonist-II in hepatocellular carcinoma patients undergoing surgical resection.	OBJECTIVE: The main objective of this study is to investigate the prognostic value of serum protein induced by vitamin K absence or antagonist-II (PIVKA-II) in predicting postoperative outcomes for hepatocellular carcinoma (HCC) patients after surgical resection. METHODS: Serum PIVKA‑II levels were compared between early‑stage (stage I+II) and advanced‑stage (stage III+IV) HCC patients. Correlations between PIVKA‑II and clinicopathological features were examined. Kaplan‑Meier curves were plotted to assess overall survival (OS) and recurrence‑free survival (RFS) by PIVKA‑II levels. Receiver operating characteristic (ROC) analysis compared the predictive performance of PIVKA‑II and alpha ‑fetoprotein (AFP), with DeLong 's test evaluating differences in area under the curve. Univariate and multivariate Cox regression analyses were conducted to identify independent prognostic factors for postoperative survival and recurrence. RESULTS: Serum PIVKA‑II levels were significantly elevated in HCC patients compared with controls (P < 0.01), and were higher in advanced‑stage than early‑stage HCC (P < 0.01). PIVKA‑II correlated significantly with tumor diameter, tumor node metastasis classification, lymph node infiltration, distant metastasis, differentiation, and complication incidence (all P < 0.05). Patients with high PIVKA‑II (>/=100 mAU/ml) had shorter median OS and RFS than those with low levels (<100 mAU/ml) (P < 0.01). PIVKA‑II outperformed AFP in predicting 5‑year survival and recurrence (P < 0.05), and combined use improved predictive accuracy (P < 0.05). Multivariate Cox regression identified PIVKA‑II >/=100 mAU/ml as an independent prognostic factor for both OS and RFS (P < 0.05). CONCLUSION: Our study confirms that serum PIVKA-II can serve as a prognostic predictor for HCC patients after surgical treatment.	European journal of gastroenterology & hepatology	2026 Jan 6	['Feng H', 'Xiao J', 'Li Z', 'Wei Q', 'Li B', 'Ren L']	41524590
Surveillance imaging detects hepatocellular adenomas and carcinomas in individuals with Fontan circulation.	PURPOSE: To describe institutional surveillance practices for hepatic neoplasms in people with Fontan circulation and report the number and types of biopsied lesions identified. METHODS: We retrospectively analyzed surveillance liver imaging, serum alpha-fetoprotein (AFP), and histopathology in individuals with Fontan circulation cared for at our hospital between 2013 and 2022. Clinical information and subsequent management were reviewed. Imaging for hepatocellular adenomas (HCAs) and malignant lesions was assessed for key diagnostic features. RESULTS: A total of 1110 liver imaging studies were performed in 686 individuals. Twenty-eight focal liver lesions (in 23 patients) were biopsied: 10 focal nodular hyperplasia-like lesions, seven HCA, seven hepatocellular carcinomas (HCCs), one cholangiocarcinoma, one hamartoma, one posttransplant lymphoproliferative disorder lesion, and one hemangioma. Two HCAs demonstrated malignant transformation to HCC. Median ages at diagnosis were 17.5 years for HCA and 26.6 years for malignant tumors. Most HCAs (5/7) and HCCs (5/7) were initially detected with MRI. Only three of seven patients with HCC had elevated AFP prebiopsy. Imaging features - including arterial phase hyperenhancement, washout, fat content, and hepatobiliary phase hypointensity - substantially overlapped between HCAs and HCCs. Among patients with malignant neoplasms (n = 8), four died, three underwent percutaneous therapy followed by heart-liver transplantation, and one underwent ablation alone. CONCLUSION: Surveillance imaging in this cohort of children and adults with Fontan circulation identified hepatocellular neoplasms in patients as young as 15 years old. MRI detected most lesions, AFP was often normal in HCC, and substantial imaging overlap between HCAs and HCCs reinforces the need for multidisciplinary review to guide diagnosis and management.	European journal of gastroenterology & hepatology	2025 Dec 22	['Rubadeux D', 'Debnath P', 'Bari K', 'Bonn JA', 'Dillman JR', 'Eichelbrenner F', 'Opotowsky AR', 'Palermo JJ', 'Schooler GR', 'Smith CA', 'Trout AT', 'Morin CE']	41524589
Cytometric Atlas of Combination Immunotherapy in Pancreatic Cancer: Blood-Based Signatures Reveal Vaccine and Checkpoint Inhibitor Responses.	Combination vaccine and checkpoint inhibitor therapy has previously demonstrated immunologic responses in patients with pancreatic ductal adenocarcinoma (PDAC), although with limited efficacy. An urgent need to augment responses has warranted a deeper understanding of how each treatment modality contributes to the overall inflammatory response. Serial blood samples from PDAC patients treated with GVAX, CRS-207, anti-CTLA-4, and/or anti-PD-1 therapies were profiled using two mass cytometry panels. Generating 260 cytometric profiles from 64 unique patients allowed us to create an annotated PDAC immunotherapy atlas. Analysis of this atlas revealed that while GVAX alone did not significantly alter T-cell relative frequencies, it induced T-cell activation and upregulated checkpoint expression. Adding anti-PD-1 blockade to GVAX further enhanced T-cell activation, whereas adding anti-CTLA-4 distinctly enhanced memory formation. Vaccine-mediated effects were similar, but GVAX promoted plasmacytoid dendritic cells more than CRS-207. Derived phenotypic patterns could also be projected onto tumor imaging data, underscoring the potential for discoveries relating treatment-induced peripheral signatures to changes in the tumor microenvironment.	Cancer immunology research	2026 Jan 12	['Sidiropoulos DN', 'Zhang Z', 'Durham JN', 'Charmsaz S', 'Gross NE', 'Lee JW', 'Sun Y', 'Perikala S', 'Tandurella JA', 'Lvovs D', 'Mitschang A', 'Lemson G', 'Shin SM', 'Hernandez AG', 'Mitchell S', 'Leatherman JM', 'Danilova L', 'Wang H', 'Fertig EJ', 'Jaffee EM', 'Bever KM', 'Le DT', 'Ho WJ']	41524578
